qScale,sigmaBio,qF0,qDelta,meanDelta,minDelta,maxDelta,maxBandWidth,bandExcludesZero
0.1,0.5,0.297492310599522,0.297492310599522,-4.94574082956118,-6.21803152566901,-2.97659046341441,3.69127160815257,1
0.1,1,0.297492310599522,0.297492310599522,-5.02856663468511,-5.9390606025904,-3.32818495687053,4.63299248619116,1
0.1,2,0.297492310599522,0.297492310599522,-5.10565393710561,-5.8294431173237,-3.61633559434138,5.98088330711761,1
0.1,5,0.297492310599522,0.297492310599522,-5.15951581828285,-5.87861411864484,-3.83500450764481,8.64512903085132,1
0.1,10,0.297492310599522,0.297492310599522,-5.13692574432958,-6.00436764763934,-3.77249762742635,11.5177676617561,1
0.1,14.5064188457534,0.297492310599522,0.297492310599522,-5.09508530846935,-6.09584012425632,-3.62824722216466,13.3910429832538,1
0.1,29.0128376915067,0.297492310599522,0.297492310599522,-4.95475331171189,-6.30880311131011,-3.1338249600742,17.4128965418749,1
1,0.5,2.97492310599522,2.97492310599522,-4.43634594137761,-7.28769748537231,-0.0800115304361706,5.73704707946229,1
1,1,2.97492310599522,2.97492310599522,-4.55090632531242,-6.94004677661452,-1.40653070546594,6.76054515177385,1
1,2,2.97492310599522,2.97492310599522,-4.66791584401659,-6.5939410069321,-2.26497996261686,8.12932744624847,1
1,5,2.97492310599522,2.97492310599522,-4.79368707685099,-6.16460531069771,-2.7351224217624,10.6339863220735,1
1,10,2.97492310599522,2.97492310599522,-4.84609285320933,-5.98903742467896,-2.78775507061756,13.2203284784495,1
1,14.5064188457534,2.97492310599522,2.97492310599522,-4.85016412790568,-5.98009928129662,-2.74225916051379,14.8949178720853,1
1,29.0128376915067,2.97492310599522,2.97492310599522,-4.79562299137473,-6.1167678368064,-2.49802469674758,18.5107503106918,0
10,0.5,29.7492310599522,29.7492310599522,-3.97095943247497,-7.9504462825633,4.75777465764829,10.1187184574958,1
10,1,29.7492310599522,29.7492310599522,-4.05880392897911,-7.76591590111512,3.24260604235449,11.1557755770933,1
10,2,29.7492310599522,29.7492310599522,-4.18658548160152,-7.50438623963224,1.48891469341695,12.5854197717742,1
10,5,29.7492310599522,29.7492310599522,-4.36835943536939,-7.14660883999483,-0.494881547207167,15.1015901509336,1
10,10,29.7492310599522,29.7492310599522,-4.46986530683509,-6.87218794451389,-1.34453775696669,17.4793389382076,1
10,14.5064188457534,29.7492310599522,29.7492310599522,-4.50064201353387,-6.7190018798172,-1.54500358887438,18.9153086174622,1
10,29.0128376915067,29.7492310599522,29.7492310599522,-4.50315902865362,-6.46424679509971,-1.54483920865199,21.8366978873161,0
